,Unnamed: 0,DATE,PERIOD,Label,A1,A2,A3,A4,A5,A6
45,45,2018-12-01T07:40:00,P1,AVG,225.88180859,228.57952409,230.93019888,231.03783427,231.96615468,230.47852137
46,46,2018-12-01T07:50:00,P1,AVG,226.57263563,229.11171122,231.23133035,230.89267731,231.87304459,230.4417986
47,47,2018-12-01T08:00:00,P1,AVG,226.5718225,229.05879092,230.9893688,231.48642157,232.17827845,230.35262337
48,48,2018-12-01T08:10:00,P1,AVG,227.34991233,229.34520192,231.39519584,230.99148913,231.8756219,230.35615664
49,49,2018-12-01T08:20:00,P1,AVG,227.66627048,229.57859772,231.59408427,231.19829361,231.85088315,230.35561767
50,50,2018-12-01T08:30:00,P1,AVG,227.56955493,229.67546955,231.42245544,231.4563052,231.91555721,230.41709939
51,51,2018-12-01T08:40:00,P1,AVG,227.98362794,229.87845574,231.77142714,231.21872908,231.73286573,230.23234516
52,52,2018-12-01T08:50:00,P1,AVG,228.0535736,230.00802108,231.67922863,231.40552475,231.76932052,230.1499297
53,53,2018-12-01T09:00:00,P1,AVG,228.06354241,230.13948137,231.65417011,231.30635752,231.7877734,230.02652507
54,54,2018-12-01T09:10:00,P1,AVG,228.40854328,230.05203965,231.79820763,231.25574480000003,231.62599596,229.98924055
55,55,2018-12-01T09:20:00,P1,AVG,228.41652759,230.32303486,231.8746141,231.37138722,231.57229581,229.93656013
56,56,2018-12-01T09:30:00,P1,AVG,229.01042731,230.17894437,232.15482246,231.43162592,231.43772138,229.98912006
57,57,2018-12-01T09:40:00,P1,AVG,228.7016512,230.48730494,231.92172656,231.29662425,231.47846067,229.80531230000005
58,58,2018-12-01T09:50:00,P1,AVG,228.91563101,230.43017898,231.9189846,231.35217039,231.47630787,229.78174542
59,59,2018-12-01T10:00:00,P1,AVG,228.85142616,230.49572322,231.97941971,231.34922212,231.4069657,229.71934663
60,60,2018-12-01T10:10:00,P1,AVG,228.97983409,230.66564774,231.89877725,231.25428348,231.26336475,229.60624947
61,61,2018-12-01T10:20:00,P1,AVG,229.07905599,230.70687395,231.9161721,231.26244729,231.20495877,229.51940488
62,62,2018-12-01T10:30:00,P1,AVG,229.15940754,230.64035,231.91729173,231.30328232,231.25690896,229.49756296
63,63,2018-12-01T10:40:00,P1,AVG,229.06858715,230.67580489,232.01471759,231.3497782,231.24459964,229.52770175
64,64,2018-12-01T10:50:00,P1,AVG,229.08012677,230.71409299,232.02291759,231.34542364,231.24764596,229.53494931
65,65,2018-12-01T11:00:00,P1,AVG,229.21048055,230.58865624,231.98880131,231.26000452,231.21644021,229.48765738
66,66,2018-12-01T11:10:00,P1,AVG,229.06730704,230.70409416,232.04637341,231.36771062,231.23921793,229.56252753
67,67,2018-12-01T11:20:00,P1,AVG,229.12932936,230.68256976,232.03508891,231.33147475,231.26798421,229.57661562
68,68,2018-12-01T11:30:00,P1,AVG,229.06368972,230.71082009,232.02845667,231.39551023,231.20849965,229.54585688
69,69,2018-12-01T11:40:00,P1,AVG,228.10098901,229.93323755,231.00827009,230.35255354,230.49514705,228.80630991
70,70,2018-12-01T11:50:00,P1,AVG,227.85067934,229.41514628,231.07140889,230.42661919,230.43475432,228.75127621
71,71,2018-12-01T12:00:00,P1,AVG,227.9915651,229.52768339,231.0910454,230.4526965,230.34938638,228.78319668
72,72,2018-12-01T12:10:00,P1,AVG,227.85398838,229.77277983,230.82871892,230.30179335,230.3890944,228.62992345
73,73,2018-12-01T12:20:00,P1,AVG,228.34873741,229.2191467,231.16269855,230.58222262,230.36127088,228.81070894
74,74,2018-12-01T12:30:00,P1,AVG,228.34879562,229.3862865,231.09092787,230.49841266,230.3143128,228.7083084
75,75,2018-12-01T12:40:00,P1,AVG,227.74230694,229.70235015,230.89023203,230.41226827,230.56408072,228.73115912
76,76,2018-12-01T12:50:00,P1,AVG,228.01303154,229.50905476,230.99300195,230.48358046,230.48572326,228.91255316
77,77,2018-12-01T13:00:00,P1,AVG,227.87501271,229.52908315,230.98895999,230.41125934,230.59746791,228.74092009
78,78,2018-12-01T13:10:00,P1,AVG,227.98378958,229.56068313,230.96453361,230.40454823,230.57981059,228.68581453
79,79,2018-12-01T13:20:00,P1,AVG,227.83864848,229.53928045,230.90684065,230.39702765,230.45326465,228.62595039
80,80,2018-12-01T13:30:00,P1,AVG,228.11440362,229.61710679,231.03740734,230.46482938,230.48303266,228.71093788
81,81,2018-12-01T13:40:00,P1,AVG,227.96545692,229.57122559,230.99069434,230.41693871,230.4632107,228.66223118
82,82,2018-12-01T13:50:00,P1,AVG,227.8876787,229.51393646,230.97846996,230.3663849,230.49010245,228.64943009
83,83,2018-12-01T14:00:00,P1,AVG,227.84561778,229.49103825,230.98101464,230.30121519,230.45661474,228.63727941
84,84,2018-12-01T14:10:00,P1,AVG,227.99327291,229.54032198,230.9911768,230.35409933,230.43281135,228.6813385
85,85,2018-12-01T14:20:00,P1,AVG,228.02176004,229.59822603,231.02849396,230.37161696,230.42811513,228.72343733
86,86,2018-12-01T14:30:00,P1,AVG,228.04588913,229.58271558,230.98886267,230.38483037,230.42358275,228.72740694
87,87,2018-12-01T14:40:00,P1,AVG,228.00133755,229.61539602,230.97943586,230.35438608,230.46875580000005,228.67912137
88,88,2018-12-01T14:50:00,P1,AVG,228.04389869,229.57467683,230.98438995,230.35842195,230.445163,228.71413302
89,89,2018-12-01T15:00:00,P1,AVG,227.95646786,229.56016527,230.92841908,230.33153859,230.39025183,228.61415356
