,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
7707,2019-06-01,3129956,Pack_2080퓨어치약 레몬민트120gx3입  (레몬라임향),8801046287699,발주가능,24,28,44,6067757,18전2080베이킹소다레몬 라임 120Gx3입,덴탈케어,12,2.3333333333333335,18.857142857142858
7708,2019-06-01,3129958,Pack_162080동의생약열 잇몸 130gx3입,8801046287743,발주가능,0,12,270,6067831,18전2080동의생약열 130gx3입 (잇몸),덴탈케어,12,1.0,270.0
7709,2019-06-01,3133085,Pack_2080 어드밴캐비티 블루160g * 5입,8801046294048,발주가능,0,103,517,6067803,18전2080어드밴스캐비티 블루160gx5입(인),덴탈케어,9,11.444444444444445,45.1747572815534
7710,2019-06-01,3139999,알피스트 에델바이스 샴푸 1000ml,8801046280751,발주가능,0,6,79,6075416,19알피스트 에델바이스1000ml샴푸책,헤어케어,8,0.75,105.33333333333333
7711,2019-06-01,3162804,트리오 투명한 생각 1000 mL 파우치,8801046275566,발주가능,711,132,860,6064055,16트리오투명한 생각 1000 mL 파우치,주방세제,9,14.666666666666666,58.63636363636364
7712,2019-06-01,3162805,트리오 베이킹소다 3L용기,8801046263129,발주가능,0,249,2890,6065539,17트리오베이킹소다 3L용기,주방세제,4,62.25,46.42570281124498
7713,2019-06-01,3162806,트리오 홍초 3L 용기,8801046289235,발주가능,3052,17,3068,6065133,16트리오홍초 3L 용기,주방세제,4,4.25,721.8823529411765
7714,2019-06-01,3163376,케라시스 걸리쉬 리페어 오일 에센스 100ml,8801046282175,발주가능,0,0,28,5008243,16KS걸리쉬오일에센 100ml,헤어케어,15,0.0,0.0
7715,2019-06-01,3211085,Pack_2080클래식 170g * 5입,8801046296837,발주가능,0,534,1889,6067808,18전2080클래식 170x5입(인터넷),덴탈케어,9,59.333333333333336,31.837078651685392
7716,2019-06-01,3234713,"스파크 세탁조케어(일반,드럼 겸용), 3.2kg",8801046292105,발주가능,0,0,0,6067064,18스파크 세탁조케어겸용 3.2kg,세탁세제,4,0.0,0.0
7717,2019-06-01,3234714,"리큐 제트 용기, 2.7L (일반용)",8801046291252,발주가능,0,78,1268,6071513,18리큐제트(Z) 4입2.7L(일)오리지널,세탁세제,4,19.5,65.02564102564102
7718,2019-06-01,3234715,"리큐 제트 용기, 2.7L (드럼용)",8801046291245,발주가능,0,68,1100,6071514,18리큐제트(Z) 4입2.7L(드)오리지널,세탁세제,4,17.0,64.70588235294117
7719,2019-06-01,3262267,항균트리오 2kg,8801046979501,발주가능,0,5,862,6065424,17항균트리오 2kg(1종),주방세제,6,0.8333333333333334,1034.3999999999999
7720,2019-06-01,3262268,항균트리오 3kg,8801046979525,발주가능,796,116,988,6065425,17항균트리오 3kg(1종),주방세제,4,29.0,34.06896551724138
7721,2019-06-01,3264273,리큐 제트 리필형 일반용 1.8L,8801046298640,발주가능,0,12,397,6067376,18리큐 제트1.8(일반)(화),세탁세제,6,2.0,198.5
7722,2019-06-01,3264274,리큐 제트 리필형 드럼용 1.8L,8801046298657,발주가능,0,5,61,6068162,18리큐제트(Z) 1.8L오리지널(드)화,세탁세제,6,0.8333333333333334,73.2
7723,2019-06-01,3264275,Box_울샴푸 오리지널 리필형 1.5L*4,18801046297503,발주가능,0,155,1750,6067119,18울샴푸오리지 1.5L*4 (온라인) (화),세탁세제,4,38.75,45.16129032258065
7724,2019-06-01,3297538,케라시스 고기능에센스 마이크로아쿠아 세럼 70ml,RR8801046292327,발주가능,0,0,0,6067105,17리큐진한겔일반용 3L알카(화),세탁세제,4,0.0,0.0
7725,2019-06-01,3367650,더마&모어 세라 리프레싱 샴푸(지성 두피용) 600ml,8801046299715,발주가능,0,0,4,6075506,19더마&모어샴푸 세라 리프레싱 600ml N책,헤어케어,10,0.0,0.0
7726,2019-06-01,3367651,더마&모어 데일리 밸런싱 컨디셔너(영양&보습) 600ml,8801046299722,발주가능,0,0,0,6067211,18더마&모어린스 데일리 밸런싱 600ml,헤어케어,10,0.0,0.0
7727,2019-06-01,3367652,더마&모어 시카 너리싱 컨디셔너(고영양&탄력) 600ml,8801046299739,발주가능,0,13,403,6075510,19더마&모어린스 시카 너리싱 600ml N책,헤어케어,10,1.3,310.0
7728,2019-06-01,3367655,더마&모어 시카 너리싱 트리트먼트(고영양&탄력) 200ml,8801046299760,발주가능,0,12,64,6068176,18더마&모어트 시카 너리싱 트리트 200ml N,헤어케어,8,1.5,42.666666666666664
7729,2019-06-01,3367656,더마&모어 세라 모이스춰 두피팩(고보습&두피정화) 200ml,8801046299777,발주가능,0,3,34,6068175,18더마&모어트 세라모이스춰 두피팩200ml N,헤어케어,8,0.375,90.66666666666667
7730,2019-06-01,3455100,[애경] 휘슬 애견 미스트 - 퓨어 모이스트,8801046277881,발주가능,0,4,21,6066115,17휘슬Whistle미스트 250ml퓨어모이스트,기타,6,0.6666666666666666,31.5
