,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
0,2019-05-16,29349,리큐진한겔일반 3LNEW,8801046893111,발주가능,384,287,5788,6077374,19리큐 진한겔 알카2.7용기(일),세탁세제,4,71.75,80.66898954703832
1,2019-05-16,29350,리큐 진한겔드럼 3L NEW,8801046893128,발주가능,0,235,2772,6077394,19리큐 진한겔 알카2.7용기(드),세탁세제,4,58.75,47.182978723404254
2,2019-05-16,29351,울샴푸아웃도어 800ml 용기,8801046878934,발주가능,0,2,35,6077406,19울샴푸아웃도 800ml(리뉴얼),세탁세제,9,0.2222222222222222,157.5
3,2019-05-16,29352,울샴푸아웃도어 1L 일자형 리필,8801046878941,발주가능,207,41,2083,6077404,19울샴푸아웃도 1L(리뉴얼),세탁세제,9,4.555555555555555,457.2439024390244
4,2019-05-16,29359,Pack 2080오리지날칫솔 5+5입_탄력모,8801046888858,발주가능,288,312,3411,5009109,182080오리지날칫솔 5+5입(탄력모),덴탈케어,8,39.0,87.46153846153847
5,2019-05-16,32052,케라시스 퍼퓸샴푸 600ml 퓨어차밍,8801046992722,발주가능,0,0,86,6075349,19KS퍼퓸샴푸퓨어차밍 600ml책,헤어케어,10,0.0,0.0
6,2019-05-16,32053,케라시스 퍼퓸린스 600ml 러블리&로맨틱,8801046992739,발주가능,0,662,10164,6075350,19KS퍼퓸린스러블리 600ml책,헤어케어,10,66.2,153.5347432024169
7,2019-05-16,32054,케라시스 퍼퓸린스 600ml 엘레강스,8801046992746,발주가능,520,190,6709,6075351,19KS퍼퓸린스엘레강스 600ml책,헤어케어,10,19.0,353.10526315789474
8,2019-05-16,32055,케라시스 퍼퓸린스 600ml 퓨어차밍,8801046992753,발주가능,80,88,1071,6075352,19ks퍼퓸린스퓨어차밍 600ml책,헤어케어,10,8.8,121.70454545454544
9,2019-05-16,34399,리큐진한겔드럼 2.1L,8801046247754,발주가능,0,62,2689,6078472,19리큐 진한겔 2.1리필(드)6입A,세탁세제,6,10.333333333333334,260.22580645161287
10,2019-05-16,34402,울샴푸오리지널 4160ml 용기,8801046878996,발주가능,1128,276,6074,6068101,18울샴푸오리지 4160mL 용기(화)-수정,세탁세제,4,69.0,88.02898550724638
11,2019-05-16,34403,울샴푸 오리지널 용기1L,8801046879030,발주가능,0,60,2464,6067114,18울샴푸오리지 1L (화),세탁세제,12,5.0,492.8
12,2019-05-16,34404,울샴푸오리지널 리필 1.5L,8801046246559,발주가능,0,2,0,6067119,18울샴푸오리지 1.5L*4 (온라인) (화),세탁세제,4,0.5,0.0
13,2019-05-16,41345,리큐 3배진한일반용 용기 1L(이미지 랜덤),8801046245118,발주가능,0,6,455,6067081,17리큐미니겔 1L일반(화),세탁세제,12,0.5,910.0
14,2019-05-16,41346,리큐 3배진한드럼용 용기 1L,8801046245125,발주가능,96,12,323,6067082,17리큐미니겔 1L드럼(화),세탁세제,12,1.0,323.0
15,2019-05-16,41357,엄마의선택 베이킹소다 3kg(지퍼백),8801046247730,발주가능,816,147,4505,6075861,19엄마의선택베이킹소 3Kg지퍼,세탁세제,4,36.75,122.58503401360544
16,2019-05-16,41358,순샘BubbleOlive 350ml(용기),8801046892916,발주가능,0,66,1167,6057471,10순샘BubbleOlive 350ml용기,주방세제,15,4.4,265.2272727272727
17,2019-05-16,45232,케라시스 린스 샤이닝 데미지 4000ml,8801046243541,발주가능,0,44,321,6075574,19KS린스샤이닝 데미지 4000ml책,헤어케어,4,11.0,29.181818181818183
18,2019-05-16,45327,케라시스 퍼퓸 샴푸2 글램 600ml,8801046240540,발주가능,120,154,887,6075906,19KS퍼퓸샴푸글램 600ml책,헤어케어,10,15.4,57.5974025974026
19,2019-05-16,45348,케라시스 퍼퓸 린스2 블루밍 600ml,8801046245309,발주가능,1190,103,2127,6075354,19KS퍼퓸린스블루밍 600ml책,헤어케어,10,10.3,206.50485436893203
20,2019-05-16,78682,순샘 제로만다린.M 600ml 용기,8801046248584,발주가능,0,3,9,6071542,18순샘제로 600ml,주방세제,9,0.3333333333333333,27.0
21,2019-05-16,78683,순샘 제로만다린.M 1000ml 파우치,8801046248577,발주가능,0,0,0,6062464,14순샘제로만다린.M 1.0L파우치-친환경,주방세제,9,0.0,0.0
22,2019-05-16,78690,스파크 드럼 2.8kg 카툰,8801046867877,발주가능,0,0,60,6067022,18스파크 드럼 2.8kg 카툰,세탁세제,4,0.0,0.0
23,2019-05-16,78692,스파크 고농축 4.3Kg 퍼퓸팝 리미티드,8801046253779,발주가능,0,39,99,6067063,18스파크 퍼퓸팝 리필 4.3kg,세탁세제,3,13.0,7.615384615384615
24,2019-05-16,78694,울샴푸 오리지널 2L 용기,8801046879047,발주가능,240,181,2633,6067115,18울샴푸오리지 2L (화),세탁세제,6,30.166666666666668,87.2817679558011
25,2019-05-16,78696,울샴푸 오리지널 1.8L 파우치,8801046879054,발주가능,0,74,1562,6067116,18울샴푸오리지 1.8L (화),세탁세제,6,12.333333333333334,126.64864864864865
26,2019-05-16,78699,울샴푸 퍼플라일락 1L 용기,8801046879061,발주가능,648,61,2459,6067136,18울샴푸 퍼플라일락1L (화),세탁세제,12,5.083333333333333,483.7377049180328
27,2019-05-16,78700,울샴푸 퍼플라일락 1.3L 리필,8801046879078,발주가능,135,42,893,6067137,18울샴푸 퍼플라일락 1.3L (화),세탁세제,9,4.666666666666667,191.35714285714283
28,2019-05-16,78701,트리오 곡물우리밀 750ml 용기,8801046876985,발주가능,0,0,0,6073988,19트리오 곡물우리밀 750ml(위),주방세제,12,0.0,0.0
29,2019-05-16,78703,트리오 곡물우리쌀겨 용기 1개 (3L),8801046896365,발주가능,0,0,0,6067380,18트리오 곡물우리쌀겨 3L용기,주방세제,4,0.0,0.0
30,2019-05-16,78707,항균 트리오 4.2kg 1개,8801046979532,발주가능,444,270,2512,6065426,17항균트리오 4.2kg(1종),주방세제,4,67.5,37.214814814814815
31,2019-05-16,84268,리큐 반만쓰는 진한겔 일반 2.4L,8801046255568,발주가능,66,137,2472,6078212,19리큐 진한겔 1/2 2.4용기(일),세탁세제,6,22.833333333333332,108.26277372262774
32,2019-05-16,84295,리큐 반만쓰는 진한겔 드럼 2.4L,8801046255575,발주가능,0,106,1838,6078213,19리큐 진한겔 1/2 2.4용기(드),세탁세제,6,17.666666666666668,104.0377358490566
33,2019-05-16,94175,케라시스 데미지 클리닉 샴푸 750ml 플러스,8801046900673,발주가능,6520,194,7336,6075515,19KS샴푸데미지 750ml플러스책,헤어케어,8,24.25,302.5154639175258
34,2019-05-16,124825,케라시스 볼륨 클리닉 샴푸 750ml 플러스,8801046900680,발주가능,0,0,0,6068189,18KS샴푸볼륨 750ml플러스,헤어케어,8,0.0,0.0
35,2019-05-16,124826,케라시스 모이스춰 클리닉 샴푸 750ml 플러스,8801046900697,발주가능,0,0,1,6068190,18KS샴푸모이스춰 750ml플러스,헤어케어,8,0.0,0.0
36,2019-05-16,124827,케라시스 데미지 클리닉 린스 750ml 플러스,8801046902028,발주가능,0,0,0,6068198,18KS린스데미지 750ml플러스,헤어케어,8,0.0,0.0
37,2019-05-16,124828,케라시스 볼륨 클리닉 린스 750ml 플러스,8801046902011,발주가능,0,0,72,6068199,18KS린스볼륨 750ml플러스,헤어케어,8,0.0,0.0
