,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
34627,2019-08-01,29349,리큐진한겔일반 2.7L NEW,8801046893111,발주가능,1424,296,14462,6077374,19리큐 진한겔 알카2.7용기(일),세탁세제,4,74.0,195.43243243243242
34628,2019-08-01,29350,리큐 진한겔드럼 2.7L NEW,8801046893128,발주가능,144,149,4191,6077394,19리큐 진한겔 알카2.7용기(드),세탁세제,4,37.25,112.51006711409396
34629,2019-08-01,29351,울샴푸아웃도어 800ml 용기,8801046878934,발주가능,0,7,381,6077406,19울샴푸아웃도 800ml(리뉴얼),세탁세제,9,0.7777777777777778,489.85714285714283
34630,2019-08-01,29352,울샴푸아웃도어 1L 일자형 리필,8801046878941,발주가능,108,36,1332,6077404,19울샴푸아웃도 1L(리뉴얼),세탁세제,9,4.0,333.0
34631,2019-08-01,29359,Pack 2080오리지날칫솔 5+5입_탄력모,8801046888858,발주가능,128,357,8368,5009109,182080오리지날칫솔 5+5입(탄력모),덴탈케어,8,44.625,187.51820728291315
34632,2019-08-01,29364,2080스마트케어칫솔 4입,8801046244234,발주가능,264,17,4687,5008124,162080 스마트케어칫솔_4입,세탁세제,8,2.125,2205.6470588235293
34633,2019-08-01,32052,케라시스 퍼퓸샴푸 600ml 퓨어차밍,8801046992722,발주가능,20,2,464,6075349,19KS퍼퓸샴푸퓨어차밍 600ml책,헤어케어,10,0.2,2320.0
34634,2019-08-01,32053,케라시스 퍼퓸린스 600ml 러블리&로맨틱,8801046992739,발주가능,2000,502,16825,6075350,19KS퍼퓸린스러블리 600ml책,헤어케어,10,50.2,335.1593625498008
34635,2019-08-01,32054,케라시스 퍼퓸린스 600ml 엘레강스,8801046992746,발주가능,240,175,7744,6075351,19KS퍼퓸린스엘레강스 600ml책,헤어케어,10,17.5,442.51428571428573
34636,2019-08-01,32055,케라시스 퍼퓸린스 600ml 퓨어차밍,8801046992753,발주가능,160,54,2750,6075352,19ks퍼퓸린스퓨어차밍 600ml책,헤어케어,10,5.4,509.25925925925924
34637,2019-08-01,34399,리큐진한겔드럼 2.1L,8801046247754,발주가능,390,55,904,6078472,19리큐 진한겔 2.1리필(드)6입A,세탁세제,6,9.166666666666666,98.61818181818182
34638,2019-08-01,34402,울샴푸오리지널 4160ml 용기,8801046878996,발주가능,792,202,7519,6068101,18울샴푸오리지 4160mL 용기(화)-수정,세탁세제,4,50.5,148.8910891089109
34639,2019-08-01,34403,울샴푸 오리지널 용기1L,8801046879030,발주가능,72,41,1242,6067114,18울샴푸오리지 1L (화),세탁세제,12,3.4166666666666665,363.5121951219512
34640,2019-08-01,34404,울샴푸오리지널 리필 1.5L,8801046246559,발주가능,324,100,1404,6067119,18울샴푸오리지 1.5L*4 (온라인) (화),세탁세제,4,25.0,56.16
34641,2019-08-01,41345,리큐 3배진한일반용 용기 1L(이미지 랜덤),8801046245118,발주가능,12,11,189,6067081,17리큐미니겔 1L일반(화),세탁세제,12,0.9166666666666666,206.1818181818182
34642,2019-08-01,41346,리큐 3배진한드럼용 용기 1L,8801046245125,발주가능,12,11,334,6067082,17리큐미니겔 1L드럼(화),세탁세제,12,0.9166666666666666,364.3636363636364
34643,2019-08-01,41357,엄마의선택 베이킹소다 3kg(지퍼백),8801046247730,발주가능,0,146,5425,6075861,19엄마의선택베이킹소 3Kg지퍼,세탁세제,4,36.5,148.63013698630138
34644,2019-08-01,41358,순샘BubbleOlive 350ml(용기),8801046892916,발주가능,270,78,2800,6057471,10순샘BubbleOlive 350ml용기,주방세제,15,5.2,538.4615384615385
