,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
22079,2019-07-01,29349,리큐진한겔일반 2.7L NEW,8801046893111,발주가능,0,360,6159,6077374,19리큐 진한겔 알카2.7용기(일),세탁세제,4,90.0,68.43333333333334
22080,2019-07-01,29350,리큐 진한겔드럼 2.7L NEW,8801046893128,발주가능,0,135,5295,6077394,19리큐 진한겔 알카2.7용기(드),세탁세제,4,33.75,156.88888888888889
22081,2019-07-01,29351,울샴푸아웃도어 800ml 용기,8801046878934,발주가능,0,13,353,6077406,19울샴푸아웃도 800ml(리뉴얼),세탁세제,9,1.4444444444444444,244.3846153846154
22082,2019-07-01,29352,울샴푸아웃도어 1L 일자형 리필,8801046878941,발주가능,0,47,721,6077404,19울샴푸아웃도 1L(리뉴얼),세탁세제,9,5.222222222222222,138.06382978723403
22083,2019-07-01,29359,Pack 2080오리지날칫솔 5+5입_탄력모,8801046888858,발주가능,0,384,3052,5009109,182080오리지날칫솔 5+5입(탄력모),덴탈케어,8,48.0,63.583333333333336
22084,2019-07-01,29364,2080스마트케어칫솔 4입,8801046244234,발주가능,0,26,2332,5008124,162080 스마트케어칫솔_4입,세탁세제,8,3.25,717.5384615384615
22085,2019-07-01,29382,샤워메이트 로맨틱 퍼퓸 바디워시 1.8L,8801046999998,단종,0,0,0,6067105,17리큐진한겔일반용 3L알카(화),세탁세제,4,0.0,0.0
22086,2019-07-01,32052,케라시스 퍼퓸샴푸 600ml 퓨어차밍,8801046992722,발주가능,0,6,233,6075349,19KS퍼퓸샴푸퓨어차밍 600ml책,헤어케어,10,0.6,388.33333333333337
22087,2019-07-01,32053,케라시스 퍼퓸린스 600ml 러블리&로맨틱,8801046992739,발주가능,360,620,5314,6075350,19KS퍼퓸린스러블리 600ml책,헤어케어,10,62.0,85.70967741935483
22088,2019-07-01,32054,케라시스 퍼퓸린스 600ml 엘레강스,8801046992746,발주가능,0,254,7069,6075351,19KS퍼퓸린스엘레강스 600ml책,헤어케어,10,25.4,278.3070866141733
22089,2019-07-01,32055,케라시스 퍼퓸린스 600ml 퓨어차밍,8801046992753,발주가능,0,106,1197,6075352,19ks퍼퓸린스퓨어차밍 600ml책,헤어케어,10,10.6,112.9245283018868
22090,2019-07-01,34399,리큐진한겔드럼 2.1L,8801046247754,발주가능,132,106,1020,6078472,19리큐 진한겔 2.1리필(드)6입A,세탁세제,6,17.666666666666668,57.73584905660377
22091,2019-07-01,34402,울샴푸오리지널 4160ml 용기,8801046878996,발주가능,0,220,3071,6068101,18울샴푸오리지 4160mL 용기(화)-수정,세탁세제,4,55.0,55.836363636363636
22092,2019-07-01,34403,울샴푸 오리지널 용기1L,8801046879030,발주가능,0,74,1284,6067114,18울샴푸오리지 1L (화),세탁세제,12,6.166666666666667,208.2162162162162
22093,2019-07-01,34404,울샴푸오리지널 리필 1.5L,8801046246559,발주가능,0,106,813,6067119,18울샴푸오리지 1.5L*4 (온라인) (화),세탁세제,4,26.5,30.67924528301887
22094,2019-07-01,41345,리큐 3배진한일반용 용기 1L(이미지 랜덤),8801046245118,발주가능,0,10,300,6067081,17리큐미니겔 1L일반(화),세탁세제,12,0.8333333333333334,360.0
22095,2019-07-01,41346,리큐 3배진한드럼용 용기 1L,8801046245125,발주가능,0,8,206,6067082,17리큐미니겔 1L드럼(화),세탁세제,12,0.6666666666666666,309.0
22096,2019-07-01,41357,엄마의선택 베이킹소다 3kg(지퍼백),8801046247730,발주가능,48,151,643,6075861,19엄마의선택베이킹소 3Kg지퍼,세탁세제,4,37.75,17.033112582781456
22097,2019-07-01,41358,순샘BubbleOlive 350ml(용기),8801046892916,발주가능,180,69,574,6057471,10순샘BubbleOlive 350ml용기,주방세제,15,4.6,124.78260869565219
22098,2019-07-01,45232,케라시스 린스 샤이닝 데미지 4000ml,8801046243541,발주가능,8,54,663,6075574,19KS린스샤이닝 데미지 4000ml책,헤어케어,4,13.5,49.111111111111114
22099,2019-07-01,45327,케라시스 퍼퓸 샴푸2 글램 600ml,8801046240540,발주가능,0,264,2880,6075906,19KS퍼퓸샴푸글램 600ml책,헤어케어,10,26.4,109.0909090909091
22100,2019-07-01,45348,케라시스 퍼퓸 린스2 블루밍 600ml,8801046245309,발주가능,90,266,1730,6075354,19KS퍼퓸린스블루밍 600ml책,헤어케어,10,26.6,65.0375939849624
22101,2019-07-01,78682,순샘 제로만다린.M 600ml 용기,8801046248584,단종,0,0,0,6071542,18순샘제로 600ml,주방세제,9,0.0,0.0
22102,2019-07-01,78683,순샘 제로만다린.M 1000ml 파우치,8801046248577,단종,0,0,1,6062464,14순샘제로만다린.M 1.0L파우치-친환경,주방세제,9,0.0,0.0
22103,2019-07-01,78690,스파크 드럼 2.8kg 카툰,8801046867877,발주가능,0,0,60,6067022,18스파크 드럼 2.8kg 카툰,세탁세제,4,0.0,0.0
22104,2019-07-01,78692,스파크 고농축 4.3Kg 퍼퓸팝 리미티드,8801046253779,발주가능,207,59,1052,6067063,18스파크 퍼퓸팝 리필 4.3kg,세탁세제,3,19.666666666666668,53.49152542372881
22105,2019-07-01,78694,울샴푸 오리지널 2L 용기,8801046879047,발주가능,0,178,1676,6067115,18울샴푸오리지 2L (화),세탁세제,6,29.666666666666668,56.49438202247191
22106,2019-07-01,78696,울샴푸 오리지널 1.8L 파우치,8801046879054,발주가능,0,90,911,6067116,18울샴푸오리지 1.8L (화),세탁세제,6,15.0,60.733333333333334
22107,2019-07-01,78699,울샴푸 퍼플라일락 1L 용기,8801046879061,발주가능,564,144,1165,6067136,18울샴푸 퍼플라일락1L (화),세탁세제,12,12.0,97.08333333333333
22108,2019-07-01,78700,울샴푸 퍼플라일락 1.3L 리필,8801046879078,발주가능,18,94,709,6067137,18울샴푸 퍼플라일락 1.3L (화),세탁세제,9,10.444444444444445,67.88297872340425
22109,2019-07-01,78703,트리오 곡물우리쌀겨 용기 1개 (3L),8801046896365,발주가능,0,0,0,6067380,18트리오 곡물우리쌀겨 3L용기,주방세제,4,0.0,0.0
22110,2019-07-01,78707,항균 트리오 4.2kg 1개,8801046979532,발주가능,352,129,5539,6065426,17항균트리오 4.2kg(1종),주방세제,4,32.25,171.75193798449612
22111,2019-07-01,84268,리큐 반만쓰는 진한겔 일반 2.4L,8801046255568,발주가능,0,221,2051,6078212,19리큐 진한겔 1/2 2.4용기(일),세탁세제,6,36.833333333333336,55.68325791855203
22112,2019-07-01,84295,리큐 반만쓰는 진한겔 드럼 2.4L,8801046255575,발주가능,0,146,2045,6078213,19리큐 진한겔 1/2 2.4용기(드),세탁세제,6,24.333333333333332,84.04109589041096
22113,2019-07-01,94175,케라시스 데미지 클리닉 샴푸 750ml 플러스,8801046900673,발주가능,0,461,7084,6075515,19KS샴푸데미지 750ml플러스책,헤어케어,8,57.625,122.93275488069415
22114,2019-07-01,124825,케라시스 볼륨 클리닉 샴푸 750ml 플러스,8801046900680,발주가능,0,10,82,6068189,18KS샴푸볼륨 750ml플러스,헤어케어,8,1.25,65.6
22115,2019-07-01,124826,케라시스 모이스춰 클리닉 샴푸 750ml 플러스,8801046900697,발주가능,0,0,1,6068190,18KS샴푸모이스춰 750ml플러스,헤어케어,8,0.0,0.0
22116,2019-07-01,124827,케라시스 데미지 클리닉 린스 750ml 플러스,8801046902028,발주가능,24,0,24,6068198,18KS린스데미지 750ml플러스,헤어케어,8,0.0,0.0
22117,2019-07-01,124828,케라시스 볼륨 클리닉 린스 750ml 플러스,8801046902011,발주가능,32,29,516,6068199,18KS린스볼륨 750ml플러스,헤어케어,8,3.625,142.3448275862069
22118,2019-07-01,124829,케라시스 모이스춰 클리닉 린스 750ml 플러스,8801046902035,발주가능,0,28,0,6068200,18KS린스모이스춰 750ml플러스,헤어케어,8,3.5,0.0
22119,2019-07-01,124830,케라시스 두피 클리닉 샴푸 750ml 플러스,8801046902103,발주가능,0,479,5869,6075518,19KS샴푸두피클리닉 750ml플러스책,헤어케어,8,59.875,98.02087682672234
22120,2019-07-01,124831,케라시스 두피 프레쉬 쿨 샴푸 750ml 플러스,8801046902110,발주가능,0,439,4549,6075519,19KS 샴푸 두피프레쉬쿨 750ml 플러스책,헤어케어,8,54.875,82.89749430523918
22121,2019-07-01,124832,케라시스 두피 클리닉 린스 750ml 플러스,8801046900635,발주가능,544,176,1594,6075527,19KS린스두피클리닉 750ml플러스책,헤어케어,8,22.0,72.45454545454545
22122,2019-07-01,126521,홈즈 퀵크린 세탁조크리너,8801046987650,발주가능,0,31,1130,5009011,18퀵크린세탁조크리너 500ml,ST,12,2.5833333333333335,437.41935483870964
22123,2019-07-01,126668,홈즈 에어후레쉬 옷장용 방향소취제 시원한 아쿠아향 32g,8801046873816,발주가능,0,37,308,5009012,18에어후레쉬옷장용아쿠아32g,ST,12,3.0833333333333335,99.89189189189189
22124,2019-07-01,126683,홈즈 방충선언 향기방충 옷장용 부드러운후로랄향 2입,8801046903384,발주가능,0,0,39,5008852,18향기방충 옷장용 후로랄 2입 6.6g,ST,10,0.0,0.0
22125,2019-07-01,126684,홈즈 방충선언 향기방충 옷장용 상쾌한소프향 2입,8801046903391,발주가능,0,2,78,5008853,18향기방충 옷장용 소프 2입 6.6g,ST,10,0.2,390.0
22126,2019-07-01,132955,샤워메이트 스위트 & 모이스처 바디워시 4000ml,8801046991527,발주가능,0,19,282,6075605,19샤워메이트스위트 4L바디워시책,F&B,4,4.75,59.36842105263158
22127,2019-07-01,132961,애경 바세린 데일리 모이스춰 로션 450ml,8801046862421,발주가능,232,79,332,5009368,19New바세린데일리 450ml로션책,F&B,8,9.875,33.620253164556964
22128,2019-07-01,132964,애경 바세린 핸드 & 네일 로션 450ml,8801046862438,발주가능,0,58,3009,5009391,19New바세린핸드네일 450ml로션책,F&B,8,7.25,415.0344827586207
