,카테고리명,자재그룹명,제품명,안전재고,분류,variable,value
78,CHB,E2,KC2,0.0,L,2019-12-02 00:00:00,19386.7
79,CHB,E2,KC3,0.0,F,2019-12-02 00:00:00,14541.2
80,CHB,E1,A,0.0,E,2019-12-03 00:00:00,0.0
81,CHB,E1,B,0.0,E,2019-12-03 00:00:00,0.0
82,CHB,E1,C,0.0,A,2019-12-03 00:00:00,6965.7
83,CHB,E1,D,0.0,A,2019-12-03 00:00:00,4009.9
84,CHB,E1,E,39593.3,A,2019-12-03 00:00:00,74942.2
85,CHB,E1,F,0.0,A,2019-12-03 00:00:00,3710.2
86,CHB,E1,G,0.0,M,2019-12-03 00:00:00,18616.7
87,CHB,E1,H,46893.9,A,2019-12-03 00:00:00,26476.3
88,CHB,E1,I,0.0,K,2019-12-03 00:00:00,15773.6
89,CHB,E1,J,0.0,A,2019-12-03 00:00:00,16821.8
90,CHB,E1,K,0.0,A,2019-12-03 00:00:00,5633.1
91,CHB,E1,L,0.0,A,2019-12-03 00:00:00,11808.6
92,CHB,E1,M,0.0,A,2019-12-03 00:00:00,5150.9
93,CHB,E1,N,0.0,E,2019-12-03 00:00:00,0.0
94,CHB,E1,O,0.0,E,2019-12-03 00:00:00,0.0
95,CHB,E1,P,0.0,E,2019-12-03 00:00:00,0.0
96,CHB,E1,Q,0.0,E,2019-12-03 00:00:00,0.0
97,CHB,E1,R,0.0,A,2019-12-03 00:00:00,0.0
98,CHB,E1,S,0.0,E,2019-12-03 00:00:00,0.0
99,CHB,E1,T,0.0,E,2019-12-03 00:00:00,0.0
100,CHB,E2,U,0.0,E,2019-12-03 00:00:00,0.0
101,CHB,E2,V,0.0,E,2019-12-03 00:00:00,0.0
102,CHB,E2,W,0.0,E,2019-12-03 00:00:00,0.0
103,CHB,E2,X,0.0,E,2019-12-03 00:00:00,0.0
104,CHB,E2,Y,0.0,E,2019-12-03 00:00:00,0.0
105,CHB,E2,Z,0.0,E,2019-12-03 00:00:00,0.0
106,CHB,E2,A1,0.0,E,2019-12-03 00:00:00,0.0
107,CHB,E2,A2,0.0,A,2019-12-03 00:00:00,27939.4
108,CHB,E2,A3,0.0,B,2019-12-03 00:00:00,0.0
109,CHB,E2,B2,0.0,G,2019-12-03 00:00:00,120.4
110,CHB,E2,B3,0.0,F,2019-12-03 00:00:00,9481.9
111,CHB,E2,FF1,0.0,E,2019-12-03 00:00:00,0.0
112,CHB,E2,FF2,0.0,F,2019-12-03 00:00:00,0.0
113,CHB,E2,FF3,0.0,M,2019-12-03 00:00:00,17273.7
114,CHB,E2,Z1,0.0,H,2019-12-03 00:00:00,8067.8
115,CHB,E2,Z2,0.0,K,2019-12-03 00:00:00,5342.4
116,CHB,E2,Z3,0.0,K,2019-12-03 00:00:00,3587.2
117,CHB,E2,KC,0.0,E,2019-12-03 00:00:00,0.0
118,CHB,E2,KC2,0.0,L,2019-12-03 00:00:00,17583.9
119,CHB,E2,KC3,0.0,F,2019-12-03 00:00:00,12628.8
120,CHB,E1,A,0.0,E,2019-12-04 00:00:00,0.0
121,CHB,E1,B,0.0,E,2019-12-04 00:00:00,0.0
122,CHB,E1,C,0.0,A,2019-12-04 00:00:00,3368.2
123,CHB,E1,D,0.0,A,2019-12-04 00:00:00,2669.8
124,CHB,E1,E,39593.3,A,2019-12-04 00:00:00,84690.1
125,CHB,E1,F,0.0,A,2019-12-04 00:00:00,8294.9
126,CHB,E1,G,0.0,M,2019-12-04 00:00:00,17021.1
127,CHB,E1,H,46893.9,A,2019-12-04 00:00:00,60737.0
128,CHB,E1,I,0.0,K,2019-12-04 00:00:00,8400.1
129,CHB,E1,J,0.0,A,2019-12-04 00:00:00,29712.9
130,CHB,E1,K,0.0,A,2019-12-04 00:00:00,21007.8
131,CHB,E1,L,0.0,A,2019-12-04 00:00:00,7444.4
132,CHB,E1,M,0.0,A,2019-12-04 00:00:00,26497.5
133,CHB,E1,N,0.0,E,2019-12-04 00:00:00,0.0
134,CHB,E1,O,0.0,E,2019-12-04 00:00:00,0.0
135,CHB,E1,P,0.0,E,2019-12-04 00:00:00,0.0
136,CHB,E1,Q,0.0,E,2019-12-04 00:00:00,0.0
137,CHB,E1,R,0.0,A,2019-12-04 00:00:00,0.0
138,CHB,E1,S,0.0,E,2019-12-04 00:00:00,0.0
139,CHB,E1,T,0.0,E,2019-12-04 00:00:00,0.0
140,CHB,E2,U,0.0,E,2019-12-04 00:00:00,0.0
141,CHB,E2,V,0.0,E,2019-12-04 00:00:00,0.0
142,CHB,E2,W,0.0,E,2019-12-04 00:00:00,0.0
143,CHB,E2,X,0.0,E,2019-12-04 00:00:00,0.0
144,CHB,E2,Y,0.0,E,2019-12-04 00:00:00,0.0
145,CHB,E2,Z,0.0,E,2019-12-04 00:00:00,0.0
146,CHB,E2,A1,0.0,E,2019-12-04 00:00:00,0.0
147,CHB,E2,A2,0.0,A,2019-12-04 00:00:00,33949.7
148,CHB,E2,A3,0.0,B,2019-12-04 00:00:00,0.0
149,CHB,E2,B2,0.0,G,2019-12-04 00:00:00,11606.3
150,CHB,E2,B3,0.0,F,2019-12-04 00:00:00,7459.0
151,CHB,E2,FF1,0.0,E,2019-12-04 00:00:00,0.0
152,CHB,E2,FF2,0.0,F,2019-12-04 00:00:00,0.0
153,CHB,E2,FF3,0.0,M,2019-12-04 00:00:00,31928.8
154,CHB,E2,Z1,0.0,H,2019-12-04 00:00:00,6418.2
155,CHB,E2,Z2,0.0,K,2019-12-04 00:00:00,1619.5
156,CHB,E2,Z3,0.0,K,2019-12-04 00:00:00,3191.2
157,CHB,E2,KC,0.0,E,2019-12-04 00:00:00,0.0
158,CHB,E2,KC2,0.0,L,2019-12-04 00:00:00,16845.8
159,CHB,E2,KC3,0.0,F,2019-12-04 00:00:00,775.8
160,CHB,E1,A,0.0,E,2019-12-05 00:00:00,98.8
161,CHB,E1,B,0.0,E,2019-12-05 00:00:00,393.7
